Time;Time Code;Country Name;Country Code;Life expectancy at birth, total (years) [SP.DYN.LE00.IN];GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD];Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) [SH.ALC.PCAP.LI];Gini index [SI.POV.GINI];Suicide mortality rate (per 100,000 population) [SH.STA.SUIC.P5]
2019;YR2019;Afghanistan;AFG;62.941;2583.485332;0.016;..;3.53
2019;YR2019;Albania;ALB;79.467;16442.12594;5.11;30.1;3.78
2019;YR2019;Algeria;DZA;75.682;13892.53334;0.61;..;2.05
2019;YR2019;American Samoa;ASM;72.751;..;..;..;..
2019;YR2019;Andorra;AND;84.098;57475.06928;11.05;..;..
2019;YR2019;Angola;AGO;63.051;8572.878956;6.17;..;7.52
2019;YR2019;Antigua and Barbuda;ATG;77.168;26550.58984;8.51;..;0
2019;YR2019;Argentina;ARG;76.847;23516.8262;8.04;43.3;9.28
2019;YR2019;Armenia;ARM;76.22195122;14975.75395;4.98;30;2.7
2019;YR2019;Aruba;ABW;76.019;38543.90729;..;..;..
2019;YR2019;Australia;AUS;82.9;52885.83138;10.09;..;13.98
2019;YR2019;Austria;AUT;81.89512195;60354.92794;11.97;30.2;14.58
2019;YR2019;Azerbaijan;AZE;73.29;16675.31794;1.97;..;1.83
2019;YR2019;Bahamas, The;BHS;71.408;36116.0002;4.39;..;3.61
2019;YR2019;Bahrain;BHR;80.471;56599.52144;1.58;..;5.37
2019;YR2019;Bangladesh;BGD;72.625;6047.124015;0.005;..;3.08
2019;YR2019;Barbados;BRB;76.495;19971.11857;9.47;..;4.8
2019;YR2019;Belarus;BLR;74.22682927;22301.59324;10.9;25.3;17.52
2019;YR2019;Belgium;BEL;81.99512195;56712.46957;10.28;27.2;18.11
2019;YR2019;Belize;BLZ;72.577;10499.96207;5.71;..;5.02
2019;YR2019;Benin;BEN;59.888;3148.979696;8.35;..;7.23
2019;YR2019;Bermuda;BMU;81.251;90984.45767;..;..;..
2019;YR2019;Bhutan;BTN;72.005;12909.10098;0.2;..;4.84
2019;YR2019;Bolivia;BOL;67.82;11005.35412;4.1;41.6;5.35
2019;YR2019;Bosnia and Herzegovina;BIH;77.394;16428.81366;6.38;..;10.91
2019;YR2019;Botswana;BWA;67.167;15960.01561;8.16;..;8.99
2019;YR2019;Brazil;BRA;75.809;16069.83802;7.67;53.5;6.71
2019;YR2019;British Virgin Islands;VGB;76.845;..;..;..;..
2019;YR2019;Brunei Darussalam;BRN;75.049;69353.67995;0.41;..;2.49
2019;YR2019;Bulgaria;BGR;75.11219512;26765.7192;11.92;40.3;9.02
2019;YR2019;Burkina Faso;BFA;60.184;2232.16282;9.81;..;8.45
2019;YR2019;Burundi;BDI;62.18;868.4237317;4.13;..;6.88
2019;YR2019;Cabo Verde;CPV;75.449;8645.756469;6.27;..;14.56
2019;YR2019;Cambodia;KHM;70.127;6153.994395;8.48;..;4.46
2019;YR2019;Cameroon;CMR;61.695;4241.111749;10.1;..;8.22
2019;YR2019;Canada;CAN;82.15853659;50498.97311;9.9;31.8;12.69
2019;YR2019;Cayman Islands;CYM;79.052;72697.36719;..;..;..
2019;YR2019;Central African Republic;CAF;31.53;984.8431837;1.99;..;9.45
2019;YR2019;Chad;TCD;52.993;2351.653398;3.73;..;5.26
2019;YR2019;Channel Islands;CHI;81.2;..;..;..;..
2019;YR2019;Chile;CHL;80.324;25611.75783;6.75;..;9.77
2019;YR2019;China;CHN;77.94;17600.89076;5.73;38.2;8.75
2019;YR2019;Colombia;COL;76.793;16181.5909;4.92;52.5;5.11
2019;YR2019;Comoros;COM;65.662;3293.056017;0.25;..;6.18
2019;YR2019;Congo, Dem. Rep.;COD;60.242;1056.172067;2.12;..;8.33
2019;YR2019;Congo, Rep.;COG;63.152;5719.599773;6.4;..;7.05
2019;YR2019;Costa Rica;CRI;80.296;23339.60913;3.45;48.2;7.06
2019;YR2019;Cote d'Ivoire;CIV;60.274;5516.390551;2.8;..;7.75
2019;YR2019;Croatia;HRV;78.22439024;33063.91017;8.54;28.9;14.91
2019;YR2019;Cuba;CUB;77.413;..;6.01;..;13.79
2019;YR2019;Curacao;CUW;76.492;25396.99662;..;..;..
2019;YR2019;Cyprus;CYP;81.454;44393.99219;8.05;31.2;4.5
2019;YR2019;Czechia;CZE;79.22926829;45614.01711;13.29;25.3;12.23
2019;YR2019;Denmark;DNK;81.45121951;60594.9664;9.4;27.7;11.42
2019;YR2019;Djibouti;DJI;64.381;5398.000368;0.4;..;8.02
2019;YR2019;Dominica;DMA;71.305;16020.59447;6.1;..;..
2019;YR2019;Dominican Republic;DOM;73.112;19766.76286;6.76;41.9;5.83
2019;YR2019;Ecuador;ECU;77.286;12543.01482;3.26;45.7;8.52
2019;YR2019;Egypt, Arab Rep.;EGY;71.213;13363.7327;0.15;31.9;0.91
2019;YR2019;El Salvador;SLV;71.725;9756.752186;3.28;38.8;7.8
2019;YR2019;Equatorial Guinea;GNQ;62.297;16451.36415;6.94;..;7.71
2019;YR2019;Eritrea;ERI;67.306;..;1.23;..;13
2019;YR2019;Estonia;EST;78.64634146;40586.37844;11.26;30.8;15.61
