income age education coworkers
914.38 31 3 5
928.31 33 1 5
920.75 31 3 5
986.23 36 3 7
990.84 37 2 5
1090.41 41 1 7
1055.02 36 1 22
1041.16 39 3 6
1023.61 40 2 5
2261.4 34 2 333
1044.74 39 2 8
1015.68 37 1 7
1081.76 39 1 18
928.66 31 3 6
974.04 35 1 5
975.91 35 1 5
1001.79 36 3 5
1065.42 41 3 6
1032.72 36 1 15
1055.78 39 2 7
1038.72 39 3 6
911.17 31 2 5
764.61 31 3 9
893.41 41 1 5
823.5 36 1 5
931.78 37 1 37
653.86 24 1 5
792.02 33 2 6
813.85 34 1 5
865.5 39 1 5
855.28 38 3 7
828.87 35 1 5
783.74 34 2 5
800.2 36 1 5
780.31 34 3 6
959.85 39 2 41
857.87 37 1 12
835.23 36 3 8
775.86 33 1 5
862.68 39 2 5
