mesto	rozloha	cena
BA	90	128.74
BA	114	138.81
BA	84	131.13
BA	85	131.83
BA	91	119.88
BA	73	113.34
BA	100	134.87
BA	100	139.94
BA	80	118.86
BA	77	120.02
BA	57	111.29
BA	83	120.67
BA	56	101.63
BA	91	116.56
BA	77	124.31
BA	55	100.52
BA	64	111.49
BA	74	118.31
BA	77	120.29
BA	51	107.66
BA	63	114.74
BA	65	110.03
BA	82	118.2
BA	111	151.74
BA	79	109.65
BA	87	123.4
BA	84	122.69
BA	68	119.07
BA	98	131.44
BA	100	134.94
BA	67	105.64
BA	89	117.89
BA	89	129.09
BA	66	108.65
BA	46	96.36
BA	58	104.54
BA	81	114.56
BA	95	123.88
BA	89	121.69
BA	75	114.04
BA	83	123.26
BA	85	119.49
BA	73	104.81
BA	95	135.62
BA	84	122.47
BA	66	118.31
BA	78	119.27
BA	74	118.62
BA	90	120.44
BA	85	118.65
KE	90	86.29
KE	84	79.67
KE	105	90.69
KE	51	56.62
KE	74	70.45
KE	63	78.99
KE	62	73.27
KE	70	83.01
KE	68	64.7
KE	67	75.81
KE	81	81.76
KE	89	83.34
KE	73	87.69
KE	110	85.07
KE	88	88.82
KE	79	74.23
KE	80	74.82
KE	84	83.83
KE	74	84.51
KE	65	75.75
KE	82	80.64
KE	88	86.16
KE	92	84.2
KE	98	82.97
KE	79	88.98
KE	67	67.35
KE	83	88.57
KE	69	74.2
KE	58	61.87
KE	113	97.82
KE	82	84.32
KE	92	77.21
KE	78	77.75
KE	100	90.27
KE	58	68.07
KE	100	106.29
KE	56	64.6
KE	66	77.3
KE	74	75.15
KE	85	79.08
KE	96	84.66
KE	53	54.96
KE	102	91.82
KE	79	85.34
KE	74	73.56
KE	92	89.35
KE	67	79.6
KE	46	66.35
KE	95	85.42
KE	94	92.19
O	93	63.25
O	84	44.79
O	81	46.43
O	89	42.51
O	75	34.94
O	93	43.84
O	86	42
O	69	38.96
O	96	52.42
O	93	54.73
O	69	24.35
O	70	44.74
O	82	46.15
O	74	46.29
O	71	26.46
O	67	29.96
O	92	45.4
O	81	32
O	67	32.35
O	91	59.53
O	85	45.79
O	83	32.57
O	84	42.61
O	74	38.89
O	75	42.81
O	76	38.04
O	86	46.03
O	51	25.7
O	97	50.78
O	84	42.67
O	89	42.35
O	90	49.49
O	83	38.11
O	74	40.1
O	78	43.28
O	97	46
O	85	53.43
O	77	44.42
O	88	43.18
O	77	32.23
O	77	41.31
O	73	34.43
O	76	39.16
O	101	53.96
O	77	42.36
O	88	50.29
O	55	17.2
O	106	55.36
O	91	37.04
O	89	38.22
